sequence,class
"[(0.0, 'calories_1', 27540.0), (0.0, 'bpm_2', 23940.0), (30.0, 'light', 1290.0), (60.0, 'bpm_1', 19860.0), (900.0, 'calories_2', 19800.0), (1320.0, 'deep', 2340.0), (1560.0, 'distance_1', 33780.0), (1560.0, 'steps_1', 38880.0), (3660.0, 'light', 870.0), (4530.0, 'wake', 750.0), (5280.0, 'light', 3060.0), (5700.0, 'bpm_3', 9840.0), (8340.0, 'rem', 1080.0), (9420.0, 'light', 3660.0), (13080.0, 'deep', 300.0), (13380.0, 'light', 240.0), (13620.0, 'rem', 360.0), (13980.0, 'wake', 480.0), (14460.0, 'light', 480.0), (14940.0, 'wake', 300.0), (15240.0, 'light', 3510.0), (18750.0, 'wake', 1140.0), (19890.0, 'light', 540.0), (19980.0, 'bpm_1', 13740.0), (20430.0, 'wake', 810.0), (21240.0, 'light', 330.0), (21570.0, 'wake', 480.0), (21840.0, 'calories_2', 21300.0), (21900.0, 'bpm_4', 16980.0), (22050.0, 'light', 1800.0), (22080.0, 'distance_2', 16800.0), (22080.0, 'steps_2', 16800.0), (22800.0, 'bpm_3', 17340.0), (23850.0, 'deep', 330.0), (24180.0, 'light', 1080.0), (25260.0, 'SleepScore', 59.0), (25380.0, 'calories_3', 17100.0), (25450.0, 'Walk', 921000.0), (27780.0, 'bpm_2', 22740.0), (28260.0, 'calories_1', 25560.0), (35400.0, 'distance_1', 10020.0), (40680.0, 'bpm_1', 5160.0), (40920.0, 'steps_1', 16800.0), (42780.0, 'bpm_3', 15180.0), (43200.0, 'calories_2', 13500.0), (46320.0, 'distance_1', 11400.0), (46800.0, 'distance_2', 24420.0), (46800.0, 'steps_2', 24420.0), (46800.0, 'bpm_4', 11220.0), (48180.0, 'calories_3', 13440.0), (51869.0, 'Walk', 3431000.0), (53880.0, 'calories_1', 14520.0), (57840.0, 'distance_1', 14160.0), (57840.0, 'steps_1', 14160.0), (58080.0, 'bpm_3', 13920.0), (58620.0, 'bpm_2', 12900.0), (59460.0, 'calories_2', 12540.0), (62040.0, 'bpm_1', 600.0), (64080.0, 'bpm_4', 4140.0), (65284.0, 'Walk', 2662000.0), (67560.0, 'calories_3', 4020.0)]",0
"[(0.0, 'calories_1', 23160.0), (0.0, 'bpm_1', 10320.0), (60.0, 'light', 2070.0), (1800.0, 'calories_2', 16680.0), (2130.0, 'rem', 870.0), (3000.0, 'wake', 420.0), (3420.0, 'light', 2340.0), (3660.0, 'bpm_2', 16020.0), (4440.0, 'distance_1', 10440.0), (4440.0, 'steps_1', 10440.0), (4440.0, 'bpm_3', 13980.0), (4500.0, 'bpm_4', 120.0), (5760.0, 'deep', 1230.0), (6990.0, 'light', 570.0), (7560.0, 'wake', 810.0), (8040.0, 'calories_3', 180.0), (8370.0, 'light', 990.0), (9360.0, 'rem', 1230.0), (10380.0, 'bpm_1', 10320.0), (10590.0, 'light', 3180.0), (13770.0, 'SleepScore', 62.0), (18300.0, 'distance_1', 16740.0), (18300.0, 'steps_1', 16740.0), (18600.0, 'asleep', 5640.0), (20760.0, 'bpm_3', 14820.0), (20880.0, 'distance_2', 6180.0), (20880.0, 'steps_2', 6180.0), (20880.0, 'bpm_4', 9600.0), (21900.0, 'calories_2', 31260.0), (23220.0, 'calories_1', 14880.0), (24420.0, 'calories_3', 6660.0), (25015.0, 'Walk', 922000.0), (28440.0, 'bpm_2', 20460.0), (29460.0, 'bpm_1', 3840.0), (33600.0, 'bpm_4', 11460.0), (34860.0, 'distance_2', 4920.0), (34860.0, 'steps_2', 4920.0), (35100.0, 'distance_1', 14820.0), (35100.0, 'steps_1', 14820.0), (35767.0, 'Walk', 2458000.0), (36000.0, 'calories_3', 12900.0), (38820.0, 'bpm_3', 10980.0), (42480.0, 'calories_1', 9840.0), (43500.0, 'bpm_1', 4920.0), (46740.0, 'bpm_4', 24780.0), (47340.0, 'distance_2', 9360.0), (47340.0, 'steps_2', 9360.0), (49320.0, 'calories_3', 21900.0), (49973.0, 'Run', 4665000.0), (54720.0, 'distance_1', 17280.0), (54720.0, 'steps_1', 17280.0), (57300.0, 'bpm_3', 14700.0), (57420.0, 'bpm_2', 14340.0), (57540.0, 'bpm_1', 120.0), (60480.0, 'calories_2', 11460.0), (61020.0, 'calories_1', 10980.0), (66360.0, 'distance_2', 5160.0), (66360.0, 'steps_2', 5160.0), (66840.0, 'bpm_1', 420.0)]",2
"[(0.0, 'calories_1', 29280.0), (0.0, 'bpm_2', 35280.0), (60.0, 'calories_2', 21060.0), (60.0, 'bpm_3', 24300.0), (120.0, 'calories_3', 300.0), (420.0, 'wake', 270.0), (480.0, 'distance_1', 17820.0), (480.0, 'steps_1', 17820.0), (690.0, 'deep', 2490.0), (3180.0, 'light', 510.0), (3690.0, 'rem', 1140.0), (4830.0, 'light', 750.0), (5580.0, 'deep', 2910.0), (8490.0, 'light', 210.0), (8700.0, 'rem', 390.0), (9090.0, 'light', 90.0), (9180.0, 'wake', 240.0), (9420.0, 'light', 750.0), (10170.0, 'rem', 330.0), (10500.0, 'light', 4050.0), (12300.0, 'bpm_1', 5880.0), (14520.0, 'calories_3', 0.0), (14550.0, 'rem', 2220.0), (16770.0, 'light', 3450.0), (20220.0, 'rem', 1110.0), (21240.0, 'distance_1', 19500.0), (21240.0, 'steps_1', 19500.0), (21330.0, 'light', 3690.0), (21900.0, 'calories_2', 17880.0), (22440.0, 'bpm_1', 6240.0), (24300.0, 'bpm_4', 9180.0), (25020.0, 'rem', 1320.0), (26340.0, 'wake', 2310.0), (27180.0, 'bpm_3', 24180.0), (27840.0, 'calories_3', 10260.0), (28650.0, 'light', 930.0), (28980.0, 'distance_2', 2220.0), (28980.0, 'steps_2', 2220.0), (29340.0, 'calories_1', 21120.0), (29580.0, 'rem', 2550.0), (32130.0, 'SleepScore', 75.0), (36300.0, 'bpm_1', 4260.0), (40140.0, 'bpm_4', 9600.0), (40260.0, 'distance_2', 8820.0), (40260.0, 'steps_2', 8820.0), (42553.0, 'Walk', 2509000.0), (43740.0, 'calories_3', 10680.0), (45060.0, 'distance_1', 13320.0), (45060.0, 'steps_1', 13560.0), (45600.0, 'bpm_2', 26340.0), (48780.0, 'calories_2', 9960.0), (50700.0, 'bpm_1', 0.0), (51420.0, 'bpm_3', 20580.0), (52500.0, 'distance_2', 10620.0), (52500.0, 'steps_2', 10620.0), (53400.0, 'calories_1', 18360.0), (53760.0, 'bpm_4', 17340.0), (55860.0, 'calories_3', 16020.0), (55882.0, 'Weights', 3667000.0), (58440.0, 'distance_1', 13560.0), (59160.0, 'steps_1', 12840.0), (61980.0, 'bpm_1', 2280.0), (63120.0, 'calories_2', 8880.0), (64620.0, 'distance_2', 6720.0), (64620.0, 'steps_2', 6720.0)]",1
"[(0.0, 'calories_2', 29280.0), (0.0, 'distance_1', 23040.0), (0.0, 'steps_1', 23040.0), (0.0, 'bpm_3', 25200.0), (60.0, 'calories_1', 39120.0), (420.0, 'distance_2', 1620.0), (420.0, 'steps_2', 1620.0), (660.0, 'bpm_1', 8940.0), (1260.0, 'calories_3', 23160.0), (1620.0, 'bpm_4', 7740.0), (2220.0, 'bpm_2', 33240.0), (5820.0, 'wake', 30.0), (5850.0, 'light', 1350.0), (7200.0, 'wake', 720.0), (7920.0, 'light', 1200.0), (9120.0, 'deep', 1740.0), (10860.0, 'light', 30.0), (10890.0, 'rem', 1140.0), (12030.0, 'wake', 450.0), (12480.0, 'light', 120.0), (12600.0, 'wake', 570.0), (13170.0, 'light', 600.0), (13770.0, 'deep', 2190.0), (15960.0, 'light', 270.0), (16230.0, 'rem', 1320.0), (16620.0, 'bpm_1', 16620.0), (17550.0, 'light', 3180.0), (20730.0, 'wake', 420.0), (21150.0, 'light', 270.0), (21420.0, 'wake', 630.0), (22050.0, 'light', 1080.0), (23130.0, 'rem', 330.0), (23460.0, 'light', 630.0), (23580.0, 'distance_1', 27780.0), (23580.0, 'steps_1', 27780.0), (24090.0, 'wake', 360.0), (24450.0, 'light', 1680.0), (26130.0, 'rem', 1020.0), (27150.0, 'light', 3660.0), (28860.0, 'distance_2', 7620.0), (28860.0, 'steps_2', 7620.0), (28920.0, 'bpm_4', 7980.0), (30360.0, 'bpm_3', 20940.0), (30810.0, 'rem', 1620.0), (31260.0, 'calories_3', 23160.0), (32430.0, 'wake', 390.0), (32820.0, 'light', 480.0), (33300.0, 'rem', 360.0), (33660.0, 'light', 720.0), (33960.0, 'calories_2', 38040.0), (34380.0, 'SleepScore', 71.0), (38640.0, 'bpm_2', 33360.0), (40740.0, 'calories_1', 30360.0), (42240.0, 'distance_2', 5400.0), (42240.0, 'steps_2', 5400.0), (42300.0, 'bpm_4', 10800.0), (43245.0, 'Walk', 4044000.0), (51420.0, 'distance_1', 20220.0), (51420.0, 'steps_1', 20220.0), (51900.0, 'bpm_3', 19860.0), (54840.0, 'calories_3', 16020.0), (56940.0, 'bpm_1', 13980.0), (58680.0, 'bpm_4', 11340.0), (62160.0, 'distance_2', 8100.0), (62160.0, 'steps_2', 8100.0)]",3
"[(0.0, 'calories_1', 34620.0), (0.0, 'bpm_2', 16020.0), (300.0, 'bpm_3', 6840.0), (570.0, 'light', 1530.0), (600.0, 'distance_1', 10200.0), (600.0, 'steps_1', 10200.0), (720.0, 'calories_2', 13680.0), (1380.0, 'bpm_1', 22500.0), (2100.0, 'deep', 270.0), (2370.0, 'light', 1410.0), (3780.0, 'rem', 1650.0), (5430.0, 'light', 2520.0), (7950.0, 'deep', 270.0), (8220.0, 'light', 1500.0), (9720.0, 'rem', 1290.0), (11010.0, 'light', 3360.0), (14370.0, 'wake', 390.0), (14760.0, 'light', 300.0), (15060.0, 'rem', 420.0), (15480.0, 'light', 360.0), (15840.0, 'wake', 570.0), (16410.0, 'light', 2850.0), (19260.0, 'rem', 1320.0), (20580.0, 'bpm_2', 16260.0), (20580.0, 'light', 180.0), (20760.0, 'wake', 510.0), (21000.0, 'distance_1', 22440.0), (21000.0, 'steps_1', 21300.0), (21270.0, 'light', 2520.0), (21780.0, 'bpm_3', 28560.0), (21840.0, 'distance_2', 6900.0), (21840.0, 'steps_2', 6900.0), (21840.0, 'bpm_4', 19380.0), (23790.0, 'rem', 540.0), (24330.0, 'light', 180.0), (24510.0, 'rem', 780.0), (24600.0, 'calories_2', 22620.0), (25290.0, 'SleepScore', 78.0), (25380.0, 'calories_3', 8160.0), (33900.0, 'bpm_1', 16320.0), (34920.0, 'calories_1', 30540.0), (35280.0, 'calories_3', 9420.0), (36420.0, 'distance_2', 9060.0), (36420.0, 'steps_2', 9060.0), (36960.0, 'bpm_2', 15540.0), (43440.0, 'steps_1', 16020.0), (43500.0, 'distance_1', 15960.0), (45480.0, 'bpm_4', 10260.0), (47940.0, 'calories_2', 17580.0), (49020.0, 'calories_3', 10440.0), (50340.0, 'distance_2', 5460.0), (50340.0, 'steps_2', 5460.0), (50940.0, 'bpm_3', 21060.0), (51900.0, 'bpm_1', 19500.0), (55140.0, 'bpm_2', 16800.0), (60240.0, 'distance_1', 11760.0), (60240.0, 'steps_1', 11760.0), (61260.0, 'bpm_4', 9420.0), (61440.0, 'distance_2', 8940.0), (61440.0, 'steps_2', 8940.0), (62624.0, 'Walk', 5684000.0), (65040.0, 'calories_3', 6960.0)]",1
"[(0.0, 'calories_1', 38520.0), (0.0, 'bpm_1', 10800.0), (960.0, 'bpm_2', 8520.0), (1530.0, 'light', 360.0), (1890.0, 'wake', 360.0), (1920.0, 'calories_2', 37680.0), (2250.0, 'light', 210.0), (2460.0, 'wake', 690.0), (3060.0, 'calories_3', 0.0), (3120.0, 'distance_1', 33480.0), (3120.0, 'steps_1', 33180.0), (3150.0, 'light', 1230.0), (4380.0, 'rem', 390.0), (4770.0, 'light', 30.0), (4800.0, 'wake', 300.0), (5100.0, 'light', 240.0), (5340.0, 'wake', 210.0), (5550.0, 'light', 2130.0), (7680.0, 'rem', 300.0), (7980.0, 'light', 1800.0), (9060.0, 'bpm_3', 300.0), (9780.0, 'deep', 1140.0), (10860.0, 'bpm_1', 11100.0), (10920.0, 'wake', 360.0), (11280.0, 'light', 720.0), (11700.0, 'bpm_2', 5100.0), (12000.0, 'rem', 840.0), (12840.0, 'light', 2760.0), (15600.0, 'rem', 1440.0), (17040.0, 'light', 2820.0), (19380.0, 'bpm_2', 3900.0), (19860.0, 'wake', 810.0), (20670.0, 'light', 630.0), (20760.0, 'bpm_3', 15240.0), (20820.0, 'bpm_4', 7380.0), (20940.0, 'distance_2', 6720.0), (20940.0, 'steps_2', 6720.0), (21300.0, 'rem', 360.0), (21660.0, 'wake', 270.0), (21930.0, 'light', 450.0), (22380.0, 'wake', 660.0), (23040.0, 'light', 120.0), (23160.0, 'rem', 300.0), (23460.0, 'light', 510.0), (23970.0, 'rem', 240.0), (24210.0, 'SleepScore', 68.0), (24360.0, 'calories_3', 9180.0), (25223.0, 'Walk', 1024000.0), (28620.0, 'bpm_2', 6720.0), (31560.0, 'bpm_1', 3480.0), (33600.0, 'bpm_4', 13020.0), (35460.0, 'distance_2', 11100.0), (35460.0, 'steps_2', 7920.0), (36061.0, 'Bike', 1889000.0), (36660.0, 'distance_1', 16680.0), (37200.0, 'calories_3', 13020.0), (37440.0, 'steps_1', 15900.0), (37958.0, 'Run', 4305000.0), (38580.0, 'calories_1', 32340.0), (42360.0, 'bpm_3', 9780.0), (45300.0, 'calories_2', 10380.0), (46200.0, 'bpm_2', 5160.0), (46380.0, 'steps_2', 10740.0), (48180.0, 'bpm_4', 11160.0), (50220.0, 'distance_2', 6900.0), (50400.0, 'bpm_1', 0.0), (52257.0, 'Walk', 1280000.0), (53537.0, 'Sport', 2508000.0), (53820.0, 'calories_3', 9000.0), (56100.0, 'distance_1', 15900.0), (56100.0, 'steps_1', 15900.0), (58140.0, 'bpm_3', 13860.0), (60780.0, 'calories_2', 10200.0), (61620.0, 'bpm_2', 5760.0), (64320.0, 'distance_2', 6120.0), (64320.0, 'steps_2', 6120.0), (64440.0, 'bpm_4', 6780.0), (64680.0, 'calories_3', 7320.0), (68590.0, 'Walk', 1945000.0)]",1
"[(0.0, 'calories_1', 26400.0), (0.0, 'bpm_1', 6660.0), (750.0, 'light', 900.0), (1650.0, 'rem', 360.0), (2010.0, 'light', 1860.0), (2220.0, 'calories_2', 11580.0), (3870.0, 'deep', 270.0), (4140.0, 'light', 2520.0), (6660.0, 'rem', 1050.0), (6720.0, 'bpm_1', 6060.0), (7710.0, 'light', 4230.0), (8340.0, 'bpm_2', 9600.0), (10200.0, 'distance_1', 25800.0), (10200.0, 'steps_1', 25800.0), (11940.0, 'wake', 960.0), (12840.0, 'bpm_1', 8580.0), (12900.0, 'light', 120.0), (13020.0, 'wake', 480.0), (13500.0, 'light', 3900.0), (17400.0, 'rem', 690.0), (18000.0, 'calories_2', 23040.0), (18090.0, 'light', 90.0), (18180.0, 'wake', 360.0), (18540.0, 'light', 240.0), (18780.0, 'rem', 2610.0), (20940.0, 'bpm_3', 16500.0), (21240.0, 'distance_2', 8580.0), (21240.0, 'steps_2', 8580.0), (21240.0, 'bpm_4', 10920.0), (21390.0, 'light', 60.0), (21450.0, 'wake', 330.0), (21480.0, 'calories_3', 12000.0), (21780.0, 'light', 360.0), (22140.0, 'wake', 690.0), (22830.0, 'light', 570.0), (23400.0, 'wake', 660.0), (24060.0, 'light', 120.0), (24180.0, 'SleepScore', 72.0), (24277.0, 'Walk', 921000.0), (26700.0, 'calories_1', 22080.0), (28620.0, 'bpm_2', 10620.0), (29760.0, 'bpm_1', 0.0), (33540.0, 'distance_2', 10500.0), (33540.0, 'steps_2', 10500.0), (33600.0, 'bpm_4', 10440.0), (36060.0, 'distance_1', 14220.0), (36060.0, 'steps_1', 14220.0), (37140.0, 'calories_3', 10500.0), (37500.0, 'bpm_1', 1680.0), (37740.0, 'bpm_3', 14220.0), (40966.0, 'Weights', 2204000.0), (41460.0, 'calories_2', 15180.0), (45240.0, 'bpm_2', 7860.0), (48840.0, 'calories_1', 21480.0), (50580.0, 'distance_1', 21360.0), (50580.0, 'steps_1', 21360.0), (52020.0, 'bpm_3', 15000.0), (53280.0, 'distance_2', 7860.0), (53280.0, 'steps_2', 7860.0), (53340.0, 'bpm_4', 18660.0), (53614.0, 'Walk', 1024000.0), (54638.0, 'Sport', 2202000.0), (55140.0, 'calories_3', 16860.0), (56700.0, 'calories_2', 13680.0), (57900.0, 'bpm_1', 4380.0), (59820.0, 'bpm_2', 6780.0), (64920.0, 'distance_2', 7080.0), (64920.0, 'steps_2', 7080.0), (68258.0, 'Walk', 3072000.0), (71580.0, 'bpm_1', 60.0)]",0
"[(0.0, 'calories_1', 18660.0), (0.0, 'bpm_1', 13020.0), (630.0, 'light', 5580.0), (1320.0, 'distance_1', 24720.0), (1320.0, 'steps_1', 24780.0), (1620.0, 'calories_2', 33660.0), (2820.0, 'bpm_2', 28680.0), (6210.0, 'wake', 660.0), (6870.0, 'light', 570.0), (7440.0, 'wake', 780.0), (8220.0, 'light', 60.0), (8280.0, 'rem', 270.0), (8550.0, 'light', 5070.0), (13200.0, 'bpm_3', 20160.0), (13320.0, 'bpm_4', 5280.0), (13500.0, 'distance_2', 15240.0), (13500.0, 'steps_2', 15240.0), (13620.0, 'rem', 1410.0), (15030.0, 'light', 330.0), (15360.0, 'wake', 300.0), (15660.0, 'rem', 870.0), (16530.0, 'light', 150.0), (16680.0, 'SleepScore', 66.0), (16920.0, 'calories_3', 9720.0), (18840.0, 'calories_1', 16260.0), (19680.0, 'bpm_1', 13080.0), (26100.0, 'distance_1', 11580.0), (26340.0, 'steps_1', 11340.0), (26820.0, 'bpm_4', 8580.0), (29400.0, 'calories_3', 13260.0), (31560.0, 'bpm_2', 19140.0), (33420.0, 'distance_2', 11640.0), (33420.0, 'bpm_3', 18840.0), (33600.0, 'steps_2', 11460.0), (35220.0, 'calories_1', 17640.0), (35520.0, 'bpm_1', 14700.0), (36060.0, 'calories_2', 19500.0), (37980.0, 'distance_1', 14160.0), (37980.0, 'steps_1', 14160.0), (44880.0, 'bpm_4', 26460.0), (46680.0, 'distance_2', 22080.0), (46680.0, 'steps_2', 12420.0), (47820.0, 'calories_3', 22320.0), (52912.0, 'Run', 4660000.0), (54120.0, 'calories_1', 14880.0), (57360.0, 'distance_1', 14640.0), (57420.0, 'steps_1', 14580.0), (60540.0, 'bpm_3', 11460.0), (61800.0, 'calories_2', 10200.0), (62160.0, 'bpm_1', 3960.0), (62220.0, 'bpm_2', 9720.0), (64200.0, 'steps_2', 4560.0)]",1
"[(0.0, 'calories_2', 10380.0), (0.0, 'distance_1', 9780.0), (0.0, 'steps_1', 9780.0), (0.0, 'bpm_3', 19080.0), (60.0, 'calories_1', 30120.0), (60.0, 'bpm_2', 30060.0), (90.0, 'wake', 30.0), (120.0, 'light', 930.0), (540.0, 'bpm_1', 8700.0), (1050.0, 'deep', 2130.0), (3180.0, 'light', 780.0), (3960.0, 'wake', 360.0), (4020.0, 'calories_3', 120.0), (4320.0, 'light', 750.0), (5070.0, 'deep', 2880.0), (7950.0, 'light', 390.0), (8340.0, 'rem', 1980.0), (10320.0, 'light', 4020.0), (10380.0, 'distance_1', 13500.0), (10380.0, 'steps_1', 13500.0), (14340.0, 'rem', 2070.0), (15480.0, 'calories_2', 8880.0), (16410.0, 'light', 2370.0), (18780.0, 'rem', 1350.0), (19560.0, 'bpm_1', 9120.0), (20130.0, 'light', 3360.0), (23490.0, 'wake', 1980.0), (24360.0, 'distance_1', 23880.0), (24360.0, 'steps_1', 16860.0), (24840.0, 'calories_2', 18180.0), (24840.0, 'bpm_3', 17040.0), (24900.0, 'calories_3', 11220.0), (25470.0, 'SleepScore', 72.0), (27840.0, 'bpm_4', 9600.0), (29040.0, 'distance_2', 7080.0), (29040.0, 'steps_2', 7080.0), (32460.0, 'calories_1', 22980.0), (37980.0, 'calories_3', 13740.0), (38640.0, 'bpm_4', 12900.0), (39480.0, 'distance_2', 16200.0), (39480.0, 'steps_2', 11340.0), (40260.0, 'bpm_2', 15240.0), (40356.0, 'Walk', 1485000.0), (41280.0, 'steps_1', 15900.0), (42240.0, 'bpm_3', 13560.0), (43800.0, 'calories_2', 11460.0), (44042.0, 'Walk', 2099000.0), (44520.0, 'bpm_1', 8280.0), (49440.0, 'distance_1', 22440.0), (49880.0, 'Walk', 1587000.0), (50880.0, 'steps_2', 11880.0), (52680.0, 'calories_3', 19320.0), (53220.0, 'bpm_4', 18780.0), (55740.0, 'distance_2', 16260.0), (56720.0, 'Bike', 4183000.0), (57600.0, 'steps_1', 14280.0), (62040.0, 'calories_2', 9780.0), (63180.0, 'steps_2', 8820.0), (63900.0, 'bpm_3', 7980.0), (66660.0, 'calories_1', 4440.0), (66840.0, 'bpm_2', 4920.0)]",3
"[(0.0, 'calories_1', 34800.0), (0.0, 'bpm_2', 28020.0), (240.0, 'calories_2', 19380.0), (240.0, 'distance_1', 22080.0), (240.0, 'steps_1', 22080.0), (240.0, 'bpm_3', 18840.0), (270.0, 'light', 4920.0), (5190.0, 'deep', 300.0), (5490.0, 'light', 1530.0), (7020.0, 'wake', 540.0), (7560.0, 'light', 210.0), (7770.0, 'rem', 1200.0), (8970.0, 'light', 1920.0), (10890.0, 'rem', 270.0), (11160.0, 'light', 4200.0), (15360.0, 'wake', 1110.0), (15600.0, 'bpm_1', 18960.0), (16080.0, 'calories_3', 4140.0), (16470.0, 'light', 1800.0), (18270.0, 'rem', 1830.0), (20100.0, 'light', 480.0), (20580.0, 'rem', 510.0), (21090.0, 'light', 2400.0), (22320.0, 'calories_2', 17940.0), (23490.0, 'rem', 1440.0), (24300.0, 'distance_1', 15420.0), (24300.0, 'steps_1', 15420.0), (24930.0, 'wake', 540.0), (25470.0, 'light', 180.0), (25650.0, 'rem', 270.0), (25920.0, 'light', 660.0), (26580.0, 'SleepScore', 78.0), (26760.0, 'calories_3', 10740.0), (26760.0, 'distance_2', 5580.0), (26760.0, 'steps_2', 5580.0), (26940.0, 'bpm_3', 24000.0), (27480.0, 'bpm_4', 9720.0), (34080.0, 'bpm_2', 36540.0), (34860.0, 'calories_1', 36120.0), (37560.0, 'calories_3', 10860.0), (37620.0, 'bpm_4', 10980.0), (37740.0, 'distance_2', 10800.0), (37740.0, 'steps_2', 10800.0), (39780.0, 'distance_1', 13380.0), (39780.0, 'steps_1', 13380.0), (40740.0, 'calories_2', 11100.0), (48480.0, 'calories_3', 11280.0), (48540.0, 'bpm_1', 13200.0), (51600.0, 'bpm_3', 20100.0), (51780.0, 'bpm_4', 7740.0), (51900.0, 'distance_2', 7860.0), (51900.0, 'steps_2', 7320.0), (52200.0, 'calories_2', 19440.0), (53220.0, 'distance_1', 18780.0), (53220.0, 'steps_1', 18780.0), (62460.0, 'calories_3', 9540.0), (65220.0, 'bpm_4', 6780.0), (65640.0, 'distance_2', 6060.0), (65640.0, 'steps_2', 6060.0), (66143.0, 'Walk', 1178000.0)]",1
"[(0.0, 'calories_2', 18300.0), (0.0, 'distance_1', 18300.0), (0.0, 'steps_1', 18300.0), (0.0, 'bpm_4', 12660.0), (120.0, 'bpm_3', 18060.0), (420.0, 'calories_1', 37980.0), (780.0, 'calories_3', 11880.0), (960.0, 'bpm_2', 26760.0), (3960.0, 'distance_2', 2220.0), (3960.0, 'steps_2', 2220.0), (7260.0, 'bpm_1', 9420.0), (8070.0, 'wake', 510.0), (8580.0, 'light', 510.0), (9090.0, 'deep', 2790.0), (11880.0, 'light', 180.0), (12060.0, 'rem', 450.0), (12510.0, 'wake', 360.0), (12870.0, 'light', 690.0), (13560.0, 'rem', 2130.0), (15690.0, 'light', 2490.0), (18180.0, 'wake', 210.0), (18390.0, 'light', 1920.0), (20310.0, 'rem', 2040.0), (22350.0, 'light', 4800.0), (23100.0, 'bpm_1', 60.0), (25200.0, 'calories_2', 34500.0), (25200.0, 'distance_1', 34920.0), (25200.0, 'steps_1', 34920.0), (25620.0, 'bpm_3', 34620.0), (27150.0, 'wake', 540.0), (27240.0, 'calories_3', 12420.0), (27690.0, 'SleepScore', 71.0), (27780.0, 'bpm_4', 32520.0), (28680.0, 'distance_2', 11040.0), (28680.0, 'steps_2', 10080.0), (30738.0, 'Walk', 1024000.0), (39660.0, 'steps_2', 11100.0), (39720.0, 'calories_3', 24240.0), (39900.0, 'distance_2', 10860.0), (40800.0, 'calories_1', 31200.0), (41160.0, 'bpm_2', 19020.0), (51300.0, 'bpm_1', 7920.0), (54720.0, 'distance_2', 5640.0), (55020.0, 'steps_2', 5340.0), (60360.0, 'bpm_1', 11640.0)]",2
"[(0.0, 'calories_1', 25380.0), (0.0, 'bpm_1', 7140.0), (7200.0, 'bpm_1', 6120.0), (13380.0, 'bpm_1', 9000.0), (21840.0, 'distance_1', 14580.0), (21840.0, 'steps_1', 14160.0), (21900.0, 'bpm_4', 18540.0), (22380.0, 'distance_2', 10680.0), (22380.0, 'steps_2', 10680.0), (22620.0, 'bpm_3', 11340.0), (22740.0, 'bpm_2', 13020.0), (25371.0, 'Walk', 1024000.0), (25440.0, 'calories_3', 14580.0), (25560.0, 'calories_2', 9420.0), (26280.0, 'calories_1', 20760.0), (34080.0, 'bpm_3', 13680.0), (35820.0, 'bpm_2', 6480.0), (36120.0, 'bpm_1', 6540.0), (36420.0, 'steps_1', 13680.0), (36480.0, 'distance_1', 13620.0), (36720.0, 'calories_2', 15300.0), (40200.0, 'distance_2', 16320.0), (40200.0, 'steps_2', 16320.0), (40500.0, 'bpm_4', 16080.0), (42360.0, 'bpm_2', 8160.0), (43800.0, 'calories_3', 16500.0), (43916.0, 'Weights', 2770000.0), (47820.0, 'bpm_3', 14040.0), (49980.0, 'bpm_1', 360.0), (50510.0, 'Walk', 1126000.0), (51240.0, 'calories_1', 14700.0), (51636.0, 'Sport', 1792000.0), (52620.0, 'calories_2', 13080.0), (53428.0, 'Walk', 1536000.0), (55140.0, 'distance_1', 16860.0), (55140.0, 'steps_1', 16860.0), (56640.0, 'bpm_2', 6480.0), (57900.0, 'bpm_1', 3360.0), (60000.0, 'bpm_4', 12000.0), (62460.0, 'distance_2', 7620.0), (62460.0, 'steps_2', 7620.0), (62820.0, 'calories_3', 9180.0), (63227.0, 'Run', 5195000.0)]",2
